Date,Open,High,Low,Close,Volume,Adj Close
2009-06-12,8770.01,8850.95,8671.61,8799.26,4528120000,8799.26
2009-06-11,8736.23,8911.11,8697.99,8770.92,5500840000,8770.92
2009-06-10,8763.66,8871.36,8625.21,8739.02,5379420000,8739.02
2009-06-09,8764.83,8854.80,8688.99,8763.06,4439950000,8763.06
2009-06-08,8759.35,8832.13,8593.84,8764.49,4483430000,8764.49
2009-06-05,8751.75,8900.48,8673.41,8763.13,5277910000,8763.13
2009-06-04,8665.72,8802.59,8609.17,8750.24,5352890000,8750.24
2009-06-03,8740.07,8750.83,8556.90,8675.24,5323770000,8675.24
2009-06-02,8721.60,8832.16,8635.25,8740.87,5987340000,8740.87
2009-06-01,8501.53,8797.58,8501.53,8721.44,6370440000,8721.44
